id,file,date,session,gender,format,nat,start_no,pilot,brakeman,run,status,start_time,int1,int2,int3,int4,finish,speed,athlete_id,temp_avg,air_temp,humidity_pct,pressure_hpa,dewpoint_c,wind_speed_ms,seg1,seg2,seg3,seg4,seg5,is_normal
1,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,6,FRIEDRICH Francesco,MARGIS Thorsten,1,OK,4.89,14.28,23.05,33.16,39.51,50.24,134.9,,,,,,,,,,,,,
2,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,6,FRIEDRICH Francesco,MARGIS Thorsten,2,OK,4.86,14.25,23.13,33.33,39.73,50.58,133.4,,,,,,,,,,,,,
3,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,8,KIBERMANIS Oskars,MIKNIS Matiss,1,OK,4.9,14.35,23.14,33.29,39.67,50.46,132.2,,,,,,,,,,,,,
4,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,8,KIBERMANIS Oskars,MIKNIS Matiss,2,OK,4.88,14.32,23.14,33.34,39.76,50.66,130.6,,,,,,,,,,,,,
5,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,12,LOCHNER Johannes,BLUHM Joshua,1,OK,4.95,14.41,23.27,33.48,39.89,50.66,133.3,,,,,,,,,,,,,
6,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,12,LOCHNER Johannes,BLUHM Joshua,2,OK,4.94,14.39,23.26,33.48,39.83,50.5,134.7,,,,,,,,,,,,,
7,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,22,POLONIATO Nick,BROWN Lascelles,1,OK,4.97,14.46,23.26,33.41,39.77,50.6,130.9,,,,,,,,,,,,,
8,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,22,POLONIATO Nick,BROWN Lascelles,2,OK,4.94,14.39,23.19,33.34,39.73,50.61,130.5,,,,,,,,,,,,,
9,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,9,WON Yunjong,SEO Youngwoo,1,OK,4.94,14.39,23.2,33.33,39.68,50.44,132.6,,,,,,,,,,,,,
10,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,9,WON Yunjong,SEO Youngwoo,2,OK,4.95,14.42,23.26,33.46,39.86,50.78,131.2,,,,,,,,,,,,,
11,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,18,OLSEN Justin,WEINSTOCK Evan,1,OK,4.89,14.32,23.11,33.28,39.69,50.57,132.2,,,,,,,,,,,,,
12,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,18,OLSEN Justin,WEINSTOCK Evan,2,OK,4.87,14.3,23.15,33.36,39.77,50.71,131.1,,,,,,,,,,,,,
13,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,21,SPRING Christopher,WRIGHT Neville,1,OK,4.97,14.48,23.3,33.42,39.76,50.52,133.5,,,,,,,,,,,,,
14,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,21,SPRING Christopher,WRIGHT Neville,2,OK,4.96,14.41,23.26,33.48,39.9,50.82,131.6,,,,,,,,,,,,,
15,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,10,KRIPPS Justin,LUMSDEN Jesse,1,OK,4.99,14.5,23.38,33.57,39.94,50.78,132.1,,,,,,,,,,,,,
16,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,10,KRIPPS Justin,LUMSDEN Jesse,2,OK,4.97,14.43,23.25,33.41,39.76,50.57,132.0,,,,,,,,,,,,,
17,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,16,ZALIMS Ugis,JANSONS Janis,1,OK,4.96,14.47,23.32,33.5,39.9,50.77,132.3,,,,,,,,,,,,,
18,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,16,ZALIMS Ugis,JANSONS Janis,2,OK,4.94,14.39,23.22,33.39,39.77,50.65,132.0,,,,,,,,,,,,,
19,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,28,BASCUE Codie,MOREIRA Lou,1,OK,5.06,14.61,23.46,33.63,39.99,50.8,133.0,,,,,,,,,,,,,
20,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,28,BASCUE Codie,MOREIRA Lou,2,OK,5.07,14.61,23.44,33.57,39.91,50.67,133.2,,,,,,,,,,,,,
21,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,17,WALTHER Nico,KORONA Kevin,1,OK,5.06,14.6,23.44,33.63,39.99,50.74,133.1,,,,,,,,,,,,,
22,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,17,WALTHER Nico,KORONA Kevin,2,OK,5.05,14.56,23.39,33.58,39.94,50.75,132.7,,,,,,,,,,,,,
23,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,1,MELBARDIS Oskars,STRENGA Janis,1,OK,4.92,14.36,23.15,33.32,39.72,50.59,132.4,,,,,,,,,,,,,
