id,file,date,session,gender,format,nat,start_no,pilot,brakeman,run,status,start_time,int1,int2,int3,int4,finish,speed,athlete_id,temp_avg,air_temp,humidity_pct,pressure_hpa,dewpoint_c,wind_speed_ms,seg1,seg2,seg3,seg4,seg5,is_normal
918,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,1,MELBARDIS Oskars,STRENGA Janis,1,OK,4.92,14.36,23.15,33.32,39.72,50.59,132.4,ATH-3FED5953,,,,,,,9.44,8.79,10.170000000000002,6.399999999999999,10.870000000000005,True
919,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,1,MELBARDIS Oskars,STRENGA Janis,2,OK,4.92,14.39,23.3,33.54,40.0,50.98,130.7,ATH-3FED5953,,,,,,,9.47,8.91,10.239999999999998,6.460000000000001,10.979999999999997,True
941,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,AUS,2,MATA Lucas,REIDY Lachlan,1,OK,5.19,14.79,23.62,33.84,40.32,51.31,131.0,ATH-DD2EFD98,,,,,,,9.599999999999998,8.830000000000002,10.220000000000002,6.479999999999997,10.990000000000002,True
937,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,BRA,3,BINDILATTI Edson Luques,MARTINS Edson Ricardo,1,OK,5.1,14.64,23.46,33.65,40.08,51.07,129.6,ATH-819F0925,,,,,,,9.54,8.82,10.189999999999998,6.43,10.990000000000002,True
939,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,ITA,4,BAUMGARTNER Patrick,VARIOLA Mattia,1,OK,5.14,14.7,23.54,33.74,40.17,51.12,51.12,ATH-7EA4E649,,,,,,,9.56,8.84,10.200000000000005,6.43,10.949999999999996,True
940,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,NED,5,de BRUIN Ivo,VEENKER Dennis,1,OK,5.15,14.73,23.58,33.81,40.27,51.23,51.23,ATH-EBA299D1,,,,,,,9.58,8.849999999999998,10.230000000000004,6.460000000000001,10.959999999999994,True
896,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,6,FRIEDRICH Francesco,MARGIS Thorsten,1,OK,4.89,14.28,23.05,33.16,39.51,50.24,134.9,ATH-2351BE9D,,,,,,,9.39,8.770000000000001,10.109999999999996,6.350000000000001,10.730000000000004,True
897,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,6,FRIEDRICH Francesco,MARGIS Thorsten,2,OK,4.86,14.25,23.13,33.33,39.73,50.58,133.4,ATH-2351BE9D,,,,,,,9.39,8.879999999999999,10.2,6.399999999999999,10.85,True
946,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,RUS,7,KASJANOV Alexander,PUSHKAREV Aleksei,1,DSQ,,,,,,,,ATH-24861AC6,,,,,,,,,,,,False
898,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,8,KIBERMANIS Oskars,MIKNIS Matiss,1,OK,4.9,14.35,23.14,33.29,39.67,50.46,132.2,ATH-383F7104,,,,,,,9.45,8.790000000000001,10.15,6.380000000000003,10.79,True
899,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,8,KIBERMANIS Oskars,MIKNIS Matiss,2,OK,4.88,14.32,23.14,33.34,39.76,50.66,130.6,ATH-383F7104,,,,,,,9.44,8.82,10.200000000000005,6.419999999999995,10.9,True
904,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,9,원윤종,서영우,1,OK,4.94,14.39,23.2,33.33,39.68,50.44,132.6,ATH-F709572A,,,,,,,9.45,8.809999999999999,10.13,6.350000000000001,10.759999999999998,True
905,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,9,원윤종,서영우,2,OK,4.95,14.42,23.26,33.46,39.86,50.78,131.2,ATH-F709572A,,,,,,,9.47,8.840000000000002,10.2,6.399999999999999,10.920000000000002,True
910,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,10,KRIPPS Justin,LUMSDEN Jesse,1,OK,4.99,14.5,23.38,33.57,39.94,50.78,132.1,ATH-CFF5A226,,,,,,,9.51,8.879999999999999,10.19,6.369999999999997,10.840000000000003,True
911,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,10,KRIPPS Justin,LUMSDEN Jesse,2,OK,4.97,14.43,23.25,33.41,39.76,50.57,132.0,ATH-CFF5A226,,,,,,,9.46,8.82,10.159999999999997,6.350000000000001,10.810000000000002,True
935,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,SUI,11,PETER Rico,BAUMANN Alex,1,OK,5.04,14.56,23.42,33.66,40.1,50.98,131.9,ATH-F8A07E0A,,,,,,,9.52,8.860000000000001,10.239999999999997,6.440000000000005,10.879999999999995,True
900,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,12,LOCHNER Johannes,BLUHM Joshua,1,OK,4.95,14.41,23.27,33.48,39.89,50.66,133.3,ATH-E737A253,,,,,,,9.46,8.86,10.209999999999996,6.410000000000004,10.769999999999996,True
901,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,12,LOCHNER Johannes,BLUHM Joshua,2,OK,4.94,14.39,23.26,33.48,39.83,50.5,134.7,ATH-E737A253,,,,,,,9.45,8.870000000000001,10.219999999999995,6.350000000000001,10.670000000000002,True
938,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,AUT,13,MAIER Benjamin,SAMMER Markus,1,OK,4.97,14.44,23.3,33.57,40.05,51.07,130.7,ATH-CCEF9E5A,,,,,,,9.47,8.860000000000001,10.27,6.479999999999997,11.020000000000003,True
920,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,14,HOLCOMB Steven,VALDES Carlo,1,OK,5.06,14.62,23.49,33.64,40.02,50.78,134.5,ATH-29F5BA84,,,,,,,9.56,8.87,10.150000000000002,6.380000000000003,10.759999999999998,True
921,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,14,HOLCOMB Steven,VALDES Carlo,2,OK,5.04,14.57,23.46,33.66,40.05,50.87,134.4,ATH-29F5BA84,,,,,,,9.53,8.89,10.199999999999996,6.390000000000001,10.82,True
945,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,RUS,15,STULNEV Alexey,BELUGIN Maxim,1,DSQ,,,,,,,,ATH-636C94F3,,,,,,,,,,,,False
912,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,16,ZALIMS Ugis,JANSONS Janis,1,OK,4.96,14.47,23.32,33.5,39.9,50.77,132.3,ATH-64C2E040,,,,,,,9.510000000000002,8.85,10.18,6.399999999999999,10.870000000000005,True
913,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,LAT,16,ZALIMS Ugis,JANSONS Janis,2,OK,4.94,14.39,23.22,33.39,39.77,50.65,132.0,ATH-64C2E040,,,,,,,9.45,8.829999999999998,10.170000000000002,6.380000000000003,10.879999999999995,True
916,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,17,WALTHER Nico,KORONA Kevin,1,OK,5.06,14.6,23.44,33.63,39.99,50.74,133.1,ATH-8F4CB769,,,,,,,9.54,8.840000000000002,10.19,6.359999999999999,10.75,True
917,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GER,17,WALTHER Nico,KORONA Kevin,2,OK,5.05,14.56,23.39,33.58,39.94,50.75,132.7,ATH-8F4CB769,,,,,,,9.510000000000002,8.83,10.189999999999998,6.359999999999999,10.810000000000002,True
906,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,18,OLSEN Justin,WEINSTOCK Evan,1,OK,4.89,14.32,23.11,33.28,39.69,50.57,132.2,ATH-A9F85FB4,,,,,,,9.43,8.79,10.170000000000002,6.409999999999997,10.880000000000004,True
907,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,18,OLSEN Justin,WEINSTOCK Evan,2,OK,4.87,14.3,23.15,33.36,39.77,50.71,131.1,ATH-A9F85FB4,,,,,,,9.43,8.849999999999998,10.21,6.410000000000004,10.939999999999998,True
932,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,19,김동현,전정린,1,OK,4.99,14.51,23.38,33.6,40.0,50.84,133.4,ATH-4970E767,,,,,,,9.52,8.87,10.220000000000002,6.399999999999999,10.840000000000003,True
933,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,KOR,19,김동현,전정린,2,OK,5.03,14.6,23.48,33.7,40.14,51.08,132.0,ATH-4970E767,,,,,,,9.57,8.88,10.220000000000002,6.439999999999998,10.939999999999998,True
930,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GBR,20,TASKER Bruce,OLUBI Toby,1,OK,4.96,14.44,23.28,33.48,39.89,50.85,131.2,ATH-E4B7D6EF,,,,,,,9.48,8.840000000000002,10.199999999999996,6.410000000000004,10.96,True
931,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GBR,20,TASKER Bruce,OLUBI Toby,2,OK,4.93,14.39,23.27,33.53,39.97,50.99,130.9,ATH-E4B7D6EF,,,,,,,9.46,8.879999999999999,10.260000000000002,6.439999999999998,11.020000000000003,True
908,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,21,SPRING Christopher,WRIGHT Neville,1,OK,4.97,14.48,23.3,33.42,39.76,50.52,133.5,ATH-0DC27B4E,,,,,,,9.510000000000002,8.82,10.12,6.339999999999996,10.760000000000003,True
909,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,21,SPRING Christopher,WRIGHT Neville,2,OK,4.96,14.41,23.26,33.48,39.9,50.82,131.6,ATH-0DC27B4E,,,,,,,9.45,8.850000000000001,10.219999999999995,6.420000000000002,10.920000000000002,True
902,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,22,POLONIATO Nick,BROWN Lascelles,1,OK,4.97,14.46,23.26,33.41,39.77,50.6,130.9,ATH-D2387068,,,,,,,9.490000000000002,8.8,10.149999999999997,6.360000000000007,10.829999999999998,True
903,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CAN,22,POLONIATO Nick,BROWN Lascelles,2,OK,4.94,14.39,23.19,33.34,39.73,50.61,130.5,ATH-D2387068,,,,,,,9.45,8.8,10.150000000000002,6.3899999999999935,10.880000000000004,True
934,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,MON,23,RINALDI Rudy,VAIN Boris,1,OK,5.04,14.58,23.43,33.59,40.0,50.93,130.8,ATH-316D2AE4,,,,,,,9.54,8.85,10.160000000000004,6.409999999999997,10.93,True
936,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,RUS,24,ANDRIANOV Maxim,MORDASOV Mikhail,1,OK,5.08,14.62,23.47,33.68,40.1,51.0,132.9,ATH-989E0610,,,,,,,9.54,8.85,10.21,6.420000000000002,10.9,True
922,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CZE,25,DVORAK Dominik,NOSEK Jakub,1,OK,4.99,14.49,23.38,33.6,40.0,50.83,,ATH-274DB43D,,,,,,,9.5,8.889999999999999,10.220000000000002,6.399999999999999,10.829999999999998,True
923,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CZE,25,DVORAK Dominik,NOSEK Jakub,2,OK,4.97,14.45,23.28,33.48,39.91,50.83,128.5,ATH-274DB43D,,,,,,,9.48,8.830000000000002,10.199999999999996,6.43,10.920000000000002,True
926,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,SUI,26,HEFTI Beat,FERRARI Sandro,1,OK,5.05,14.59,23.46,33.68,40.07,50.92,,ATH-38C5A286,,,,,,,9.54,8.870000000000001,10.22,6.390000000000001,10.85,True
927,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,SUI,26,HEFTI Beat,FERRARI Sandro,2,OK,5.04,14.55,23.38,33.58,40.0,50.9,,ATH-38C5A286,,,,,,,9.510000000000002,8.829999999999998,10.2,6.420000000000002,10.9,True
924,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,POL,27,LUTY Mateusz,TYLKOWSKI Krzysztof,1,OK,5.04,14.56,23.38,33.57,39.95,50.84,131.2,ATH-BCA62176,,,,,,,9.52,8.819999999999999,10.19,6.380000000000003,10.89,True
925,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,POL,27,LUTY Mateusz,TYLKOWSKI Krzysztof,2,OK,5.04,14.55,23.37,33.54,39.95,50.92,131.0,ATH-BCA62176,,,,,,,9.510000000000002,8.82,10.169999999999998,6.410000000000004,10.97,True
914,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,28,BASCUE Codie,MOREIRA Lou,1,OK,5.06,14.61,23.46,33.63,39.99,50.8,133.0,ATH-2F16D582,,,,,,,9.55,8.850000000000001,10.170000000000002,6.359999999999999,10.809999999999995,True
915,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,USA,28,BASCUE Codie,MOREIRA Lou,2,OK,5.07,14.61,23.44,33.57,39.91,50.67,133.2,ATH-2F16D582,,,,,,,9.54,8.830000000000002,10.13,6.339999999999996,10.760000000000003,True
944,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,ITA,29,BERTAZZO Simone,FONTANA Simone,1,DNS,,,,,,,,ATH-FE1A36F1,,,,,,,,,,,,False
942,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,AUT,30,TREICHL Markus,GLUECK Markus,1,OK,5.08,14.63,23.62,33.99,40.53,51.69,51.69,ATH-0603D303,,,,,,,9.55,8.99,10.37,6.539999999999999,11.159999999999997,True
943,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,CZE,31,VRBA Jan,SUCHY Dominik,1,OK,5.01,14.61,23.66,34.05,40.6,51.79,51.79,ATH-A61BCCC4,,,,,,,9.6,9.05,10.389999999999995,6.550000000000004,11.189999999999998,True
928,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GBR,32,HALL Brad,SIMONS Ben,1,OK,5.01,14.52,23.36,33.56,39.97,50.92,131.6,ATH-768E1F9B,,,,,,,9.51,8.84,10.200000000000005,6.409999999999997,10.950000000000005,True
929,Result_168097.pdf,2017-03-18,BMW IBSF World Cup 2016/17 PyeongChang 2-man,M,OFFICIAL,GBR,32,HALL Brad,SIMONS Ben,2,OK,5.01,14.51,23.34,33.54,39.95,50.91,131.6,ATH-768E1F9B,,,,,,,9.5,8.83,10.2,6.410000000000004,10.959999999999994,True
