id,athlete_id,name,nat,birth_year,gender,height_cm,weight_kg,role,name_kr,matched_2425,display_code
1,ATH-BB4923EC,김동현,KOR,,M,,,pilot,,False,
2,ATH-57BB4B3C,김유란,KOR,,W,,,pilot,,True,BS057
3,ATH-7C10E589,김진수,KOR,,M,,,pilot,,True,BS048
4,ATH-28CF5DD8,김현유,KOR,,W,,,pilot,,False,BS065
5,ATH-93D81BCF,노윤호,KOR,,M,,,pilot,,False,
6,ATH-4B9A506D,노윤효,KOR,,M,,,pilot,,True,
7,ATH-E1A92386,모영인,KOR,,M,,,pilot,,True,BS056
8,ATH-75F895EB,박관우,KOR,,M,,,pilot,,True,BS055
9,ATH-CA622300,박사무엘,KOR,,M,,,pilot,,True,BS054
10,ATH-B4E3F0CF,배한결,KOR,,M,,,pilot,,False,
11,ATH-08D439D3,석영진,KOR,,M,,,pilot,,True,BS051
12,ATH-FFB9B7C0,소재환,KOR,,M,,,pilot,,True,BS052
13,ATH-3C682A64,원윤종,KOR,,M,,,pilot,,False,
14,ATH-E6528016,전은지,KOR,,W,,,pilot,,True,BS058
15,ATH-6D21DF80,채병도,KOR,,M,,,pilot,,True,
16,ATH-44BE2320,최시연,KOR,,W,,,pilot,,True,BS064
