id,date,session,gender,format,nat,start_no,name,run,status,start_time,int1,int2,int3,int4,finish,speed,athlete_id,air_temp,humidity_pct,pressure_hpa,wind_speed_ms,dewpoint_c,ice_temp_est,temp_avg,seg1,seg2,seg3,seg4,seg5,is_normal
1,2025-10-30,,Mixed,OFFICIAL,KOR,5.0,HONG Sujung,1,OK,5.46,15.42,24.56,35.18,46.61,54.15,117.78,ATH-CCB3D4AE,11.3,53.6,941.4,1.0,0.8,,-6.84,9.96,9.139999999999999,10.620000000000001,11.43,7.539999999999999,True
2,2025-10-30,,Mixed,OFFICIAL,KOR,5.0,HONG Sujung,2,OK,5.46,15.42,24.68,35.49,47.11,54.89,116.15,ATH-CCB3D4AE,11.3,53.6,941.4,1.0,0.8,,-6.84,9.96,9.26,10.810000000000002,11.619999999999997,7.780000000000001,True
3,2025-10-30,,Mixed,OFFICIAL,KOR,1.0,JUNG Seunggi,1,OK,5.28,15.11,24.18,34.72,45.86,53.0,122.78,ATH-56A76FCD,11.3,53.6,941.4,1.0,0.8,,-6.84,9.829999999999998,9.07,10.54,11.14,7.140000000000001,True
4,2025-10-30,,Mixed,OFFICIAL,KOR,1.0,JUNG Seunggi,2,OK,5.21,15.01,24.08,34.63,45.86,53.15,122.21,ATH-56A76FCD,11.3,53.6,941.4,1.0,0.8,,-6.84,9.8,9.069999999999999,10.550000000000004,11.229999999999997,7.289999999999999,True
5,2025-10-30,,Mixed,OFFICIAL,KOR,2.0,KIM Jisoo,1,OK,5.22,15.01,24.06,34.62,45.83,53.07,122.54,ATH-B78B10F1,11.3,53.6,941.4,1.0,0.8,,-6.84,9.79,9.049999999999999,10.559999999999999,11.21,7.240000000000002,True
6,2025-10-30,,Mixed,OFFICIAL,KOR,2.0,KIM Jisoo,2,OK,5.28,15.11,24.24,34.88,46.12,53.43,121.49,ATH-B78B10F1,11.3,53.6,941.4,1.0,0.8,,-6.84,9.829999999999998,9.129999999999999,10.640000000000004,11.239999999999995,7.310000000000002,True
7,2025-10-30,,Mixed,OFFICIAL,KOR,6.0,KIM Yerim,1,OK,5.82,15.97,25.42,36.37,48.13,55.76,113.38,ATH-16B2F494,11.3,53.6,941.4,1.0,0.8,,-6.84,10.15,9.450000000000001,10.949999999999996,11.760000000000005,7.6299999999999955,True
8,2025-10-30,,Mixed,OFFICIAL,KOR,6.0,KIM Yerim,2,OK,5.76,15.93,25.32,36.23,47.9,55.58,113.03,ATH-16B2F494,11.3,53.6,941.4,1.0,0.8,,-6.84,10.17,9.39,10.909999999999997,11.670000000000002,7.68,True
9,2025-10-30,,Mixed,OFFICIAL,KOR,4.0,SHIN Yeonsu,1,OK,5.08,14.87,23.96,34.53,45.91,53.26,121.02,ATH-91E60E21,11.3,53.6,941.4,1.0,0.8,,-6.84,9.79,9.090000000000002,10.57,11.379999999999995,7.350000000000001,True
10,2025-10-30,,Mixed,OFFICIAL,KOR,4.0,SHIN Yeonsu,2,OK,5.13,15.0,24.15,34.83,46.45,54.01,118.61,ATH-91E60E21,11.3,53.6,941.4,1.0,0.8,,-6.84,9.870000000000001,9.149999999999999,10.68,11.620000000000005,7.559999999999995,True
