file,date,session,gender,format,nat,start_no,name,run,status,start_time,int1,int2,int3,int4,finish,speed,temp_start,temp_int1,temp_int3,temp_int4,temp_finish,temp_avg,기상청_기온평균_C,기상청_기온최저_C,기상청_기온최고_C,기상청_습도평균_pct,기상청_현지기압_hPa,기상청_해면기압_hPa,기상청_풍속평균_ms,기상청_이슬점평균_C
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,1,SONG Youngmin,1,OK,4.96,14.63,23.74,34.45,45.77,53.03,115.86,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,1,SONG Youngmin,3,OK,4.89,14.57,23.72,34.44,45.98,53.47,118.38,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,2,KWACK Eunwoo,1,OK,4.97,14.84,24.31,35.16,46.58,53.92,119.15,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,2,KWACK Eunwoo,3,OK,4.98,14.69,23.81,34.43,45.89,53.29,118.38,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,7,AN Jaewoong,1,OK,5.03,14.79,24.37,36.22,48.37,56.3,111.06,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)(TR).PDF,2026-02-27,,M,TRAINING,KOR,7,AN Jaewoong,2,OK,5.15,14.96,24.09,34.83,46.63,54.63,111.53,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,2,YEO Chanhyuk,2,OK,5.01,14.77,23.91,34.59,45.82,53.03,120.46,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,6,KIM Jisoo,1,OK,4.72,14.29,23.42,34.19,45.67,53.16,117.56,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,7,SONG Youngmin,1,OK,4.77,14.37,23.52,34.25,45.76,53.21,118.46,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,1,AN Jaewoong,1,OK,4.96,14.7,23.91,34.73,46.2,53.68,118.38,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,1,AN Jaewoong,2,OK,5.01,14.76,23.99,34.85,46.34,53.84,117.63,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,8,KWACK Eunwoo,1,OK,4.88,14.55,23.73,34.57,46.22,53.96,116.81,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(M)_Result.PDF,2026-02-28,,M,OFFICIAL,KOR,8,KWACK Eunwoo,2,OK,4.84,14.57,23.84,34.66,46.58,54.41,114.08,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,1,KIM Minji,1,OK,5.81,15.95,25.36,36.23,47.97,55.66,113.17,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,1,KIM Minji,2,OK,5.82,15.98,25.27,36.13,47.87,55.46,112.34,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,2,KIM Yerim,1,OK,5.64,15.73,24.9,35.53,46.75,53.94,117.7,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,2,KIM Yerim,2,OK,5.65,15.72,24.94,35.65,46.94,54.27,120.86,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,3,CHUNG Yeeun,1,OK,6.13,16.36,25.66,36.39,47.75,55.2,121.09,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,4,HONG Sujung,1,OK,5.28,15.13,24.22,34.72,45.84,53.0,123.44,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)(TR).PDF,2026-02-27,,W,TRAINING,KOR,4,HONG Sujung,2,OK,5.37,15.37,24.68,35.44,46.79,54.12,120.54,-7.59,-6.26,-6.9,-7.75,-6.52,-7.0,2.0,0.5,4.0,74.9,932.4,1018.0,2.5,-2.1
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,3,HONG Sujung,1,OK,5.18,15.0,24.22,34.95,46.27,53.63,,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,3,HONG Sujung,2,OK,5.21,15.07,24.28,35.06,46.87,54.53,116.15,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,5,KIM Yerim,1,OK,5.43,15.42,24.65,35.41,46.79,54.25,115.57,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,5,KIM Yerim,2,OK,5.42,15.41,24.66,35.48,47.2,54.88,115.86,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,4,KIM Minji,1,OK,5.64,15.74,25.15,36.11,47.85,55.4,116.67,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,4,KIM Minji,2,OK,5.66,15.79,25.13,36.04,47.69,55.31,112.62,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,1,CHUNG Yeeun,1,OK,5.68,15.79,25.19,36.4,48.49,56.33,112.96,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
2026년 제107회 전국동계체욱대회_SKN(W)_Result.PDF,2026-02-28,,W,OFFICIAL,KOR,1,CHUNG Yeeun,2,OK,5.73,15.98,25.38,36.67,48.71,56.66,112.48,-7.34,-6.23,-6.96,-7.74,-6.53,-6.96,1.4,-3.9,4.5,76.9,938.4,1024.8,2.0,-2.3
