id,file,date,session,gender,format,nat,start_no,name,run,status,start_time,int1,int2,int3,int4,finish,speed,athlete_id,temp_avg,air_temp,humidity_pct,pressure_hpa,dewpoint_c,wind_speed_ms,seg1,seg2,seg3,seg4,seg5,is_normal
1741,NC Women 2016/2017,2017-02-17,,W,COMPETITION,GER,,Taubitz Julia,1,OK,4.362,16.499,24.524,35.429,,47.055,113.3,ATH-3730FE6E,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1742,NC Women 2016/2017,2017-02-17,,W,COMPETITION,GER,,"Eitberger, Dajana",1,OK,4.352,16.455,24.469,35.436,,47.226,111.85,ATH-6DFD91FC,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1743,NC Women 2016/2017,2017-02-17,,W,COMPETITION,RUS,,"Katnikova, Ekaterina",1,OK,4.412,16.578,24.67,35.687,,47.518,111.85,ATH-05BB6D95,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1744,NC Women 2016/2017,2017-02-17,,W,COMPETITION,LAT,,"Zirne, Ulla",1,OK,4.461,16.598,24.643,35.705,,47.559,116.11,ATH-C54663F6,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1745,NC Women 2016/2017,2017-02-17,,W,COMPETITION,CAN,,"Apshkrum, Brooke",1,OK,4.406,16.603,24.698,35.723,,47.57,111.58,ATH-F6394A5D,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1746,NC Women 2016/2017,2017-02-17,,W,COMPETITION,ITA,,"Voetter, Andrea",1,OK,4.428,16.601,24.72,35.732,,47.578,112.4,ATH-2F54B22C,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1747,NC Women 2016/2017,2017-02-17,,W,COMPETITION,AUT,,"Egle, Madeleine",1,OK,4.405,16.642,24.717,35.721,,47.599,110.97,ATH-2A315420,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1748,NC Women 2016/2017,2017-02-17,,W,COMPETITION,LAT,,"Aparjode, Kendija",1,OK,4.432,16.667,24.722,35.723,,47.638,112.81,ATH-14D1BF57,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1749,NC Women 2016/2017,2017-02-17,,W,COMPETITION,RUS,,"Mikhaylenko, Olesya",1,OK,4.428,16.698,24.772,35.807,,47.682,111.44,ATH-C2BA88DB,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
1750,NC Women 2016/2017,2017-02-17,,W,COMPETITION,RUS,,"Demchenko, Victoria",1,OK,4.38,16.562,24.656,35.696,,47.775,111.78,ATH-72C2AF1C,,0.2,66.5,905.0,-7.0,5.2,,,,,,True
